codigo;descripcion;descripcion_en;clasificacion
QS 124;Anatomía comparada de humanos y animales;Comparative anatomy of humans and animals;Anatomía humana
QS 130;Manuales de disección;Dissection manuals;Anatomía humana
QS 132;Leyes;Laws;Anatomía humana
QS 132.1;Cobertura general;General coverage;Anatomía humana
QS 133;Discusión de derecho;Discussion of law;Anatomía humana
QS 133.1;Cobertura general;General coverage;Anatomía humana
QS 504;Obras generales;General works;Anatomía humana
QS 505;Obras recopiladas de varios autores;Collected works by several authors;Anatomía humana
QS 507;Obras recopiladas de autores individuales;Collected works by individual authors;Anatomía humana
QS 509;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Anatomía humana
QS 511;Historia;History;Anatomía humana
QS 511.1;Cobertura general;General coverage;Anatomía humana
QS 513;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Anatomía humana
QS 515;Clasificación. Terminología;Classification. Terminology;Anatomía humana
QS 516;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Anatomía humana
QS 516.1;Cobertura general;General coverage;Anatomía humana
QS 517;Atlas. Obras pictóricas;Atlases. Pictorial works;Anatomía humana
QS 518;Educación;Education;Anatomía humana
QS 518.2;Materiales educativos;Educational materials;Anatomía humana
QS 520;Investigación (General);Research (General);Anatomía humana
QS 521;La histología como profesión. Ética. Revisión por pares.;Histology as a profession. Ethics. Peer review;Anatomía humana
QS 522;Directorios;Directories;Anatomía humana
QS 522.1;Cobertura general;General coverage;Anatomía humana
QS 523;Bancos de tejidos colectivos;Collective tissue banks;Anatomía humana
QS 523.1;Cobertura general;General coverage;Anatomía humana
QS 524;bancos de tejidos individuales;Individual tissue banks;Anatomía humana
QS 525;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Anatomía humana
QS 526;Equipos y suministros;Equipment and supplies;Anatomía humana
QS 526.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Anatomía humana
QS 529;Manuales. Guías de recursos;Handbooks. Resource guides;Anatomía humana
[QS 530];[Este número no se utiliza];[This number not used];Anatomía humana
QS 531;Histocitoquímica;Histocytochemistry;Anatomía humana
QS 532;Tipos de tejido normal (General);Types of normal tissue (General);Anatomía humana
QS 532.5;Tipos específicos de tejido, A-Z;Specific types of tissue, A-Z;Anatomía humana
QS 532.5.A3;Tejido adiposo;Adipose tissue;Anatomía humana
QS 532.5.C7;Tejido conectivo;Connective tissue;Anatomía humana
QS 532.5.E5;Tejido elástico;Elastic tissue;Anatomía humana
QS 532.5.E7;Epitelio;Epithelium;Anatomía humana
QS 532.5.M3;Membranas (General);Membranes (General);Anatomía humana
QS 532.5.M8;Mucosa;Mucous membrane;Anatomía humana
QS 532.5.N3;tejido nervioso;Nerve tissue;Anatomía humana
[QS 539];[Este número no se utiliza];[This number not used];Anatomía humana
QS 604;Obras generales;General works;Anatomía humana
QS 605;Obras recopiladas de varios autores;Collected works by several authors;Anatomía humana
QS 607;Obras recopiladas de autores individuales;Collected works by individual authors;Anatomía humana
QS 609;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Anatomía humana
QS 611;Historia;History;Anatomía humana
QS 611.1;Cobertura general;General coverage;Anatomía humana
QS 613;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Anatomía humana
QS 615;Clasificación. Terminología;Classification. Terminology;Anatomía humana
QS 616;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Anatomía humana
QS 616.1;Cobertura general;General coverage;Anatomía humana
QS 617;Atlas. Obras pictóricas;Atlases. Pictorial works;Anatomía humana
QS 618;Educación;Education;Anatomía humana
QS 618.2;Materiales educativos;Educational materials;Anatomía humana
QS 620;Investigación (General);Research (General);Anatomía humana
QS 621;La embriología como profesión. Ética. Revisión por pares.;Embryology as a profession. Ethics. Peer review;Anatomía humana
QS 622;Directorios;Directories;Anatomía humana
QS 622.1;Cobertura general;General coverage;Anatomía humana
QS 625;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Anatomía humana
QS 626;Equipos y suministros;Equipment and supplies;Anatomía humana
QS 626.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Anatomía humana
QS 629;Manuales. Guías de recursos;Handbooks. Resource guides;Anatomía humana
QS 632;Leyes;Laws;Anatomía humana
QS 632.1;Cobertura general;General coverage;Anatomía humana
QS 633;Discusión de derecho;Discussion of law;Anatomía humana
QS 633.1;Cobertura general;General coverage;Anatomía humana
QS 638;Procesos de determinación del sexo. Preselección sexual;Sex determination processes. Sex preselection;Anatomía humana
[QS 639];[Este número no se utiliza];[This number not used];Anatomía humana
QS 640;Diferenciación sexual;Sex differentiation;Anatomía humana
[QS 642];[Este número no se utiliza];[This number not used];Anatomía humana
QS 645;Placentación. Membranas extraembrionarias;Placentation. Extraembryonic membranes;Anatomía humana
QS 675;Anomalías congénitas (generales o no clasificadas en otra parte);Congenital abnormalities (General or not elsewhere classified);Anatomía humana
QS 677;Aberraciones cromosómicas. Trastornos cromosómicos.;Chromosome aberrations. Chromosome disorders;Anatomía humana
QS 679;Anormalidades inducidas por fármacos;Drug-induced abnormalities;Anatomía humana
QS 681;Anormalidades inducidas por radiación (General);Radiation-induced abnormalities (General);Anatomía humana
QT 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Fisiología
QT 4;Obras generales;General works;Fisiología
QT 5;Obras recopiladas de varios autores;Collected works by several authors;Fisiología
QT 7;Obras recopiladas de autores individuales;Collected works by individual authors;Fisiología
QT 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Fisiología
QT 11;Historia;History;Fisiología
QT 11.1;Cobertura general;General coverage;Fisiología
QT 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Fisiología
QT 15;Clasificación. Terminología;Classification. Terminology;Fisiología
QT 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Fisiología
QT 16.1;Cobertura general;General coverage;Fisiología
QT 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Fisiología
QT 18;Educación;Education;Fisiología
QT 18.2;Materiales educativos;Educational materials;Fisiología
QT 19;Escuelas, departamentos y facultades de fisiología;Schools, departments, and faculties of physiology;Fisiología
QT 19.1;Cobertura general;General coverage;Fisiología
QT 20.5;Investigación (General);Research (General);Fisiología
QT 21;La fisiología como profesión. Ética. Revisión por pares.;Physiology as a profession. Ethics. Peer review;Fisiología
QT 22;Directorios;Directories;Fisiología
QT 22.1;Cobertura general;General coverage;Fisiología
QT 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Fisiología
QT 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Fisiología
QT 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Fisiología
QT 26;Equipos y suministros;Equipment and supplies;Fisiología
QT 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Fisiología
QT 27;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Fisiología
QT 28;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Fisiología
QT 29;Manuales. Guías de recursos;Handbooks. Resource guides;Fisiología
QT 32;Leyes;Laws;Fisiología
QT 32.1;Cobertura general;General coverage;Fisiología
QT 33;Discusión de derecho;Discussion of law;Fisiología
QT 33.1;Cobertura general;General coverage;Fisiología
QT 34;Fenómenos biofísicos;Biophysical phenomena;Fisiología
QT 34.5;Fenómenos biomecánicos;Biomechanical phenomena;Fisiología
QT 34.8;Fenómenos magnéticos;Magnetic phenomena;Fisiología
QT 35;Matemáticas biomédicas;Biomedical mathematics;Fisiología
QT 36;Bioingeniería. Ingeniería biomédica (General);Bioengineering. Biomedical engineering (General);Fisiología
QT 36.2;Electrónica médica;Medical electronics;Fisiología
QT 36.4;Biodetección;Biosensing;Fisiología
QT 36.5;Microtecnología. Nanotecnología;Microtechnology. Nanotechnology;Fisiología
QT 37;Materiales biomédicos y biocompatibles;Biomedical and biocompatible materials;Fisiología
QT 37.5;Materiales específicos, A-Z;Specific materials, A-Z;Fisiología
QT 37.5.C4;Cerámica;Ceramics;Fisiología
QT 37.5.M4;Rieles;Metals;Fisiología
QT 37.5.P7;Polímeros;Polymers;Fisiología
QT 37.5.S6;Materiales inteligentes;Smart materials;Fisiología
[QT 39];[Este número no se utiliza];[This number not used];Fisiología
QT 104;Obras generales;General works;Fisiología
QT 105;Fisiología de la conducta sexual;Physiology of sexual behavior;Fisiología
QT 106;Características sexuales. Desarrollo sexual;Sex characteristics. Sexual development;Fisiología
QT 107;Climatérico;Climacteric;Fisiología
QT 108;Menopausia;Menopause;Fisiología
QT 109;Posmenopausia;Postmenopause;Fisiología
QT 110;Regeneración. Medicina regenerativa (general o no clasificada en otra parte);Regeneration. Regenerative medicine (General or not elsewhere classified);Fisiología
QT 120;Homeostasis (general);Homeostasis (General);Fisiología
QT 140;Exposición ambiental. Adaptación fisiológica.;Environmental exposure. Physiological adaptation;Fisiología
QT 145;Aclimatación;Acclimatization;Fisiología
QT 150;Temperatura caliente;Hot temperature;Fisiología
QT 160;Temperatura fría;Cold temperature;Fisiología
QT 162;Otros factores ambientales que actúan sobre la fisiología humana, A-Z;Other environmental factors acting on human physiology, A-Z;Fisiología
QT 162.A5;Ionización del aire;Air ionization;Fisiología
QT 162.A7;Altitud. Presión atmosférica;Altitude. Atmospheric pressure;Fisiología
[QT 162.E4];[Este número no se utiliza];[This number not used];Fisiología
[QT 162.G7];[Este número no se utiliza];[This number not used];Fisiología
QT 162.H8;Humedad;Humidity;Fisiología
QT 162.H9;Presión hidrostática;Hydrostatic pressure;Fisiología
QT 162.L5;Luz. Luz del sol;Light. Sunlight;Fisiología
QT 162.M3;Fenómenos magnéticos;Magnetic phenomena;Fisiología
QT 162.M6;Movimiento;Motion;Fisiología
QT 162.S8;Estrés;Stress;Fisiología
QT 162.U4;Rayos ultravioleta y otras radiaciones no ionizantes no clasificadas en otra parte;Ultraviolet rays and other non-ionizing radiation not classified elsewhere;Fisiología
QT 162.V4;Vibración;Vibration;Fisiología
QT 165;Regulación de la temperatura corporal;Body temperature regulation;Fisiología
QT 167;Periodicidad fisiológica;Physiological periodicity;Fisiología
QT 172;Glándulas exocrinas (General);Exocrine glands (General);Fisiología
QT 180;Higiene (General);Hygiene (General);Fisiología
QT 200;Materiales de enseñanza;Teaching materials;Fisiología
QT 210;Textos de fisiología e higiene para secundaria;Secondary school texts of physiology and hygiene;Fisiología
QT 215;Textos escolares juveniles de fisiología e higiene;Juvenile school texts of physiology and hygiene;Fisiología
QT 225;Educación sexual y salud reproductiva en las escuelas;Sex and reproductive health education in schools;Fisiología
[QT 230];[Este número no se utiliza];[This number not used];Fisiología
QT 235;Dieta;Diet;Fisiología
QT 240;Limpieza;Cleanliness;Fisiología
QT 245;Ropa;Clothing;Fisiología
QT 250;Actividades de ocio;Leisure activities;Fisiología
QT 255;Educación física;Physical education;Fisiología
QT 256;Aptitud física;Physical fitness;Fisiología
QT 260;Atletismo. Deportes;Athletics. Sports;Fisiología
QT 260.5;Actividades especiales de deportes y ocio, A-Z;Special sports and leisure activities, A-Z;Fisiología
QT 260.5.B2;Béisbol;Baseball;Fisiología
QT 260.5.B3;Baloncesto;Basketball;Fisiología
QT 260.5.B5;Ciclismo;Bicycling;Fisiología
QT 260.5.B7;Boxeo;Boxing;Fisiología
QT 260.5.D3;Baile;Dancing;Fisiología
QT 260.5.D6;Buceo;Diving;Fisiología
QT 260.5.F6;Fútbol americano;Football;Fisiología
QT 260.5.G6;Golf;Golf;Fisiología
QT 260.5.G9;Gimnasia;Gymnastics;Fisiología
QT 260.5.H6;Hockey;Hockey;Fisiología
QT 260.5.H9;Caza;Hunting;Fisiología
QT 275;Industria de la cultura de la belleza;Beauty culture industry;Fisiología
QU 1;Organizaciones. Sociedades (generales o no clasificadas en otra parte);Organizations. Societies (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
[QU 4];[Este número no se utiliza];[This number not used];Bioquímica. Biología Celular y Genética
QU 5;Obras recopiladas de varios autores;Collected works by several authors;Bioquímica. Biología Celular y Genética
QU 7;Obras recopiladas de autores individuales;Collected works by individual authors;Bioquímica. Biología Celular y Genética
QU 9;Discursos. Ensayos. Conferencias.;Addresses. Essays. Lectures;Bioquímica. Biología Celular y Genética
QU 11;Historia;History;Bioquímica. Biología Celular y Genética
QU 11.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 13;Diccionarios. Enciclopedias;Dictionaries. Encyclopedias;Bioquímica. Biología Celular y Genética
QU 15;Clasificación. Terminología;Classification. Terminology;Bioquímica. Biología Celular y Genética
QU 16;Tablas. Estadísticas. Encuestas;Tables. Statistics. Surveys;Bioquímica. Biología Celular y Genética
QU 16.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 17;Atlas. Obras pictóricas;Atlases. Pictorial works;Bioquímica. Biología Celular y Genética
QU 18;Educación;Education;Bioquímica. Biología Celular y Genética
QU 18.2;Materiales educativos;Educational materials;Bioquímica. Biología Celular y Genética
QU 19;Escuelas, departamentos y facultades de bioquímica, biología celular o genética;Schools, departments, and faculties of biochemistry, cell biology, or genetics;Bioquímica. Biología Celular y Genética
QU 19.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 20;Investigación (General);Research (General);Bioquímica. Biología Celular y Genética
QU 21;La bioquímica como profesión. La biología celular y la genética como profesión. Ética. Revisión por pares.;Biochemistry as a profession. Cell biology and genetics as a profession. Ethics. Peer review;Bioquímica. Biología Celular y Genética
QU 22;Directorios;Directories;Bioquímica. Biología Celular y Genética
QU 22.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 23;Laboratorios colectivos, academias, institutos, etc.;Collective laboratories, academies, institutes, etc.;Bioquímica. Biología Celular y Genética
QU 24;Laboratorios individuales, academias, institutos, etc.;Individual laboratories, academies, institutes, etc.;Bioquímica. Biología Celular y Genética
QU 24.5;Bancos de especímenes biológicos;Biological specimen banks;Bioquímica. Biología Celular y Genética
QU 24.51;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 25;Manuales de laboratorio. Técnica;Laboratory manuals. Technique;Bioquímica. Biología Celular y Genética
QU 26;Equipos y suministros;Equipment and supplies;Bioquímica. Biología Celular y Genética
QU 26.5;Informática. Procesamiento electrónico de datos. Informática (General);Informatics. Electronic data processing. Computers (General);Bioquímica. Biología Celular y Genética
QU 28.5;Museos colectivos, exposiciones, etc.;Collective museums, exhibitions, etc.;Bioquímica. Biología Celular y Genética
QU 28.6;Museos individuales, exposiciones, etc.;Individual museums, exhibitions, etc.;Bioquímica. Biología Celular y Genética
QU 32;Leyes;Laws;Bioquímica. Biología Celular y Genética
QU 32.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 33;Discusión de derecho;Discussion of law;Bioquímica. Biología Celular y Genética
QU 33.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 34;Fenómenos bioquímicos. Biología molecular (general o no clasificada en otra parte);Biochemical phenomena. Molecular biology (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 39;Manuales. Guías de recursos;Handbooks. Resource guides;Bioquímica. Biología Celular y Genética
QU 45;Sustancias macromoleculares (generales o no clasificadas en otra parte);Macromolecular substances (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 50;Química de las sustancias alimentarias (General);Chemistry of food substances (General);Bioquímica. Biología Celular y Genética
QU 54;Nitrógeno y compuestos relacionados (generales o no clasificados en otra parte);Nitrogen and related compounds (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 55;Proteínas (generales o no clasificadas en otra parte);Proteins (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 55.2;Proteínas transportadoras. Péptidos y proteínas de señalización intracelular. Péptidos y proteínas de señalización intercelular.;Carrier proteins. Intracellular signaling peptides and proteins. Intercellular signaling peptides and proteins;Bioquímica. Biología Celular y Genética
QU 55.3;Proteínas del citoesqueleto. Escleroproteínas.;Cytoskeletal proteins. Scleroproteins;Bioquímica. Biología Celular y Genética
QU 55.4;Proteínas dietéticas;Dietary proteins;Bioquímica. Biología Celular y Genética
QU 55.5;Glicoproteínas;Glycoproteins;Bioquímica. Biología Celular y Genética
QU 55.6;Proteínas de choque térmico. Chaperonas moleculares.;Heat-shock proteins. Molecular chaperones;Bioquímica. Biología Celular y Genética
QU 55.7;Proteínas de membrana. Receptores de superficie celular.;Membrane proteins. Cell surface receptors;Bioquímica. Biología Celular y Genética
QU 55.8;Metaloproteínas;Metalloproteins;Bioquímica. Biología Celular y Genética
QU 55.9;Fenómenos proteicos;Protein phenomena;Bioquímica. Biología Celular y Genética
QU 55.95;Ingeniería de proteínas;Protein engineering;Bioquímica. Biología Celular y Genética
QU 55.97;Factores de transcripción;Transcription factors;Bioquímica. Biología Celular y Genética
QU 56;Nucleoproteínas;Nucleoproteins;Bioquímica. Biología Celular y Genética
QU 57;Nucleósidos. Nucleótidos;Nucleosides. Nucleotides;Bioquímica. Biología Celular y Genética
QU 58;Ácidos nucleicos y derivados (generales o no clasificados en otra parte);Nucleic acids and derivatives (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 58.5;ADN;DNA;Bioquímica. Biología Celular y Genética
QU 58.7;ARN;RNA;Bioquímica. Biología Celular y Genética
QU 60;Aminoácidos (generales o no clasificados en otra parte);Amino acids (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 61;Aminas. Amidinas (generales o no clasificadas en otra parte);Amines. Amidines (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 62;Amidas (generales o no clasificadas en otra parte);Amides (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 65;Compuestos heterocíclicos (generales o no clasificados en otra parte);Heterocyclic compounds(General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 68;Péptidos (generales o no clasificados en otra parte);Peptides (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 70;fijación de nitrógeno;Nitrogen fixation;Bioquímica. Biología Celular y Genética
QU 75;Carbohidratos;Carbohydrates;Bioquímica. Biología Celular y Genética
QU 78;Glicósidos;Glycosides;Bioquímica. Biología Celular y Genética
QU 81;Azúcares;Sugars;Bioquímica. Biología Celular y Genética
QU 83;Polisacáridos y derivados;Polysaccharides and derivatives;Bioquímica. Biología Celular y Genética
QU 84;Ácidos de azúcar. Alcoholes de azúcar. Fosfatos de azúcar (generales o no clasificados en otra parte);Sugar acids. Sugar alcohols. Sugar phosphates (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 85;Lípidos (generales o no clasificados en otra parte);Lipids (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 85.6;Metabolismo lipídico (general o no clasificado en otra parte);Lipid metabolism (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 86;Grasas. Aceites;Fats. Oils;Bioquímica. Biología Celular y Genética
[QU 87];[Este número no se utiliza];[This number not used];Bioquímica. Biología Celular y Genética
QU 90;Ácidos grasos;Fatty acids;Bioquímica. Biología Celular y Genética
QU 91;Prostaglandinas;Prostaglandins;Bioquímica. Biología Celular y Genética
QU 93;Fosfolípidos;Phospholipids;Bioquímica. Biología Celular y Genética
QU 95;Esteroides. Esteroles. Terpenos;Steroids. Sterols. Terpenes;Bioquímica. Biología Celular y Genética
QU 98;Ácidos carboxílicos y sus sales y ésteres (General o no clasificados en otra parte);Carboxylic acids and their salts and esters (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 99;Aldehídos (generales o no clasificados en otra parte);Aldehydes (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 100;Composición corporal;Body composition;Bioquímica. Biología Celular y Genética
QU 102;Factores biológicos;Biological factors;Bioquímica. Biología Celular y Genética
QU 105;fluidos corporales;Body fluids;Bioquímica. Biología Celular y Genética
QU 107;Sustancias de crecimiento. Inhibidores del crecimiento (generales o no clasificados en otra parte);Growth substances. Growth inhibitors (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 110;Pigmentos biológicos (generales o no clasificados en otra parte);Biological pigments (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 120;Metabolismo;Metabolism;Bioquímica. Biología Celular y Genética
QU 125;Metabolismo energético. Calorimetría;Energy metabolism. Calorimetry;Bioquímica. Biología Celular y Genética
QU 130;Productos químicos inorgánicos (generales o no clasificados en otra parte);Inorganic chemicals (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 130.2;Metales (generales o no clasificados en otra parte);Metals (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 130.4;Minerales;Minerals;Bioquímica. Biología Celular y Genética
QU 130.5;Oligoelementos;Trace elements;Bioquímica. Biología Celular y Genética
QU 131;Compuestos organometálicos. Compuestos organofosforados (generales o no clasificados en otra parte);Organometallic compounds. Organophosphorus compounds (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 133;Coloides (generales o no clasificados en otra parte);Colloids (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 135;Enzimas. Coenzimas (generales o no clasificadas en otra parte);Enzymes. Coenzymes (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 136;Hidrolasas (generales o no clasificadas en otra parte);Hydrolases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 137;Isomerasas (generales o no clasificadas en otra parte);Isomerases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 138;Ligasas (generales o no clasificadas en otra parte);Ligases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 139;Liasas (generales o no clasificadas en otra parte);Lyases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 140;Oxidorreductasas (generales o no clasificadas en otra parte);Oxidoreductases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 141;Transferasas (generales o no clasificadas en otra parte);Transferases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 142;Precursores de enzimas (generales o no clasificados en otra parte);Enzyme precursors (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 143;Inhibidores de enzimas (generales o no clasificados en otra parte);Enzyme inhibitors (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 144;Reactivadores enzimáticos (generales o no clasificados en otra parte);Enzyme reactivators (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 145;Nutrición (general o no clasificada en otra parte);Nutrition (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 145.3;Requerimientos nutricionales;Nutritional requirements;Bioquímica. Biología Celular y Genética
QU 145.5;Nutrientes. Valores nutritivos de los alimentos;Nutrients. Nutritive values of food;Bioquímica. Biología Celular y Genética
QU 145.7;Política nutricional;Nutrition policy;Bioquímica. Biología Celular y Genética
QU 145.72;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 146;Encuestas de nutrición;Nutrition surveys;Bioquímica. Biología Celular y Genética
QU 146.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 160;Vitaminas. Avitaminosis (general o no clasificada en otra parte);Vitamins. Avitaminosis (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 165;Vitaminas liposolubles;Fat soluble vitamins;Bioquímica. Biología Celular y Genética
QU 167;Vitamina A. Deficiencia de vitamina A;Vitamin A. Vitamin A deficiency;Bioquímica. Biología Celular y Genética
QU 173;Vitamina D. Deficiencia de vitamina D;Vitamin D. Vitamin D deficiency;Bioquímica. Biología Celular y Genética
QU 179;Vitamina E. Deficiencia de vitamina E;Vitamin E. Vitamin E deficiency;Bioquímica. Biología Celular y Genética
QU 181;Vitamina K. Deficiencia de vitamina K;Vitamin K. Vitamin K deficiency;Bioquímica. Biología Celular y Genética
QU 185;Vitaminas solubles en agua;Water soluble vitamins;Bioquímica. Biología Celular y Genética
QU 187;Complejo de vitamina B. Deficiencia de vitamina B (general o no clasificada en otra parte);Vitamin B complex. Vitamin B deficiency (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 188;Ácido fólico;Folic acid;Bioquímica. Biología Celular y Genética
QU 189;Tiamina;Thiamine;Bioquímica. Biología Celular y Genética
QU 191;Riboflavina;Riboflavin;Bioquímica. Biología Celular y Genética
QU 193;Ácidos nicotínicos. Nicotinamida;Nicotinic acids. Nicotinamide;Bioquímica. Biología Celular y Genética
QU 194;Vitamina B12;Vitamin B12;Bioquímica. Biología Celular y Genética
[QU 195];[Este número no se utiliza];[This number not used];Bioquímica. Biología Celular y Genética
QU 210;Ácido ascórbico;Ascorbic acid;Bioquímica. Biología Celular y Genética
QU 220;Flavonoides;Flavonoids;Bioquímica. Biología Celular y Genética
QU 240;Obras populares;Popular works;Bioquímica. Biología Celular y Genética
QU 242;Trastornos de la nutrición (generales o no clasificados en otra parte);Nutrition disorders (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 244;Desnutrición (general);Malnutrition (General);Bioquímica. Biología Celular y Genética
QU 244.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 246;Enfermedades carenciales (generales o no clasificadas en otra parte);Deficiency diseases (General or not elsewhere classified);Bioquímica. Biología Celular y Genética
QU 248;Sobrealimentación. Sobrepeso. Obesidad (General);Overnutrition. Overweight. Obesity (General);Bioquímica. Biología Celular y Genética
QU 248.1;Cobertura general;General coverage;Bioquímica. Biología Celular y Genética
QU 250;Obesidad mórbida;Morbid obesity;Bioquímica. Biología Celular y Genética
